Gene	Predict	Prob
chr11:89657232-89666229	1	1.0
chr2:190628585-190648719	1	1.0
chr19:1952526-1954548	1	1.0
chr6:35762759-35765100	1	1.0
chr1:45097640-45117395	1	1.0
chr6:35762759-35765121	1	1.0
chr4:140211071-140223705	1	1.0
chr9:134305477-134375575	1	1.0
chr12:109886460-109915105	1	1.0
chr6:35911291-35992277	1	1.0
chr4:140211086-140223631	1	1.0
chr6:35911293-35992418	1	1.0
chr19:1383906-1395583	1	1.0
chr19:1269331-1274879	1	1.0
chr19:1269331-1274808	1	1.0
chr10:124750323-124768311	1	1.0
chr12:109535977-109548797	1	1.0
chr2:190628585-190649065	1	1.0
chr12:111051934-111068079	1	1.0
chr12:111051934-111087235	1	1.0
chr4:140211071-140222388	1	1.0
chr2:173724870-173917620	1	1.0
chr19:4536414-4540048	1	1.0
chr7:129906703-129929637	1	1.0
chr12:114259862-114404130	1	1.0
chr5:80708626-81047072	1	1.0
chr11:61159865-61166335	1	1.0
chr6:33589099-33664339	1	1.0
chr11:61160059-61166318	1	1.0
chr7:129015679-129070052	1	1.0
chr2:178977164-178994382	1	1.0
chr19:3594505-3606873	1	1.0
chr4:142142049-142155850	1	1.0
chr12:112369087-112451023	1	1.0
chr4:140372829-140375195	1	1.0
chr9:132649466-132805468	1	1.0
chr2:177016278-177017954	1	1.0
chr1:163041695-163046592	1	1.0
chr10:99349478-99350691	1	1.0
chr19:1228286-1238004	1	1.0
chr2:99613724-99758166	1	1.0
chr12:105698645-105720795	1	1.0
chr9:138506068-138511739	1	1.0
chr6:36665603-36700961	1	1.0
chr5:88185125-88263096	1	1.0
chr7:107788094-108097164	1	1.0
chr7:107788094-108096880	1	1.0
chr7:107788094-107968970	1	1.0
chr7:107788094-107883829	1	1.0
chr10:99187434-99193201	1	1.0
chr19:281044-291139	1	1.0
chr1:43291249-43310660	1	1.0
chr7:107384587-107402112	1	1.0
chr9:139567595-139581909	1	1.0
chr18:77730813-77793936	1	1.0
chr18:77730813-77748563	1	1.0
chr2:201450737-201536217	1	1.0
chr2:201677109-201692059	1	1.0
chr2:198115582-198167243	1	1.0
chr9:138354565-138364095	1	1.0
chr2:191208315-191236391	1	1.0
chr5:88012934-88185192	1	1.0
chr2:192542862-192554877	1	1.0
chr2:192542862-192555393	1	1.0
chr12:108853202-108867466	1	1.0
chr5:88012934-88081328	1	1.0
